Arrival Date,F_Governorate_En,F_District_En,F_Sub-District_En,F_Community_En,T_Governorate_En,T_District_En,T_Sub-District_En,T_Community_En,T_Camp_En,New Arrivals (Ind),New Arrivals (HH),Most common shelter type for new arrivals,Most common tenancy arrangement for new arrivals,1st priority need of IDPs arriving during the coverage period,2nd priority need of IDPs arriving during the coverage period,3rd priority need of IDPs arriving during the coverage period,F_Governorate_PCODE,F_District_PCODE,F_Sub-District_PCODE,F_Community_PCODE,T_Governorate_PCODE,T_District_PCODE,T_Sub-District_PCODE,T_Community_PCODE,T_Camp_PCODE
1-31 December,Idleb,Harim,Dana,,Aleppo,Jebel Saman,Atareb,Tuwama,,159,27,Solid_finished_houses_apartments,,Livelihoods,Winterization,Cash,SY07,SY0703,SY070301,,SY02,SY0200,SY020001,C1020,
1-31 December,Idleb,Harim,Dana,,Aleppo,Jebel Saman,Atareb,Atareb,,89,15,Solid_finished_houses_apartments,,Cash,Livelihoods,Winterization,SY07,SY0703,SY070301,,SY02,SY0200,SY020001,C1022,
1-31 December,Idleb,Harim,Dana,,Aleppo,Jebel Saman,Atareb,Abin Samaan,,84,15,Solid_finished_houses_apartments,,Cash,Livelihoods,Winterization,SY07,SY0703,SY070301,,SY02,SY0200,SY020001,C1026,
1-31 December,Idleb,Harim,Dana,,Aleppo,Jebel Saman,Atareb,Abzemo,,60,10,Solid_finished_houses_apartments,,Winterization,Cash,Food,SY07,SY0703,SY070301,,SY02,SY0200,SY020001,C1030,
1-31 December,Idleb,Harim,Dana,,Aleppo,Jebel Saman,Atareb,Kafr Karmin,,82,15,Solid_finished_houses_apartments,,Cash,Livelihoods,Winterization,SY07,SY0703,SY070301,,SY02,SY0200,SY020001,C1035,
1-31 December,Idleb,Harim,Dana,,Aleppo,Jebel Saman,Atareb,Kafr Karmin,,85,15,Solid_finished_houses_apartments,,Winterization,Food,Shelter,SY07,SY0703,SY070301,,SY02,SY0200,SY020001,C1035,
1-31 December,Idleb,Harim,Dana,,Aleppo,Jebel Saman,Atareb,Maaret Atarib,,60,10,Solid_finished_houses_apartments,,Winterization,Cash,Food,SY07,SY0703,SY070301,,SY02,SY0200,SY020001,C1038,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Jebel Saman,Daret Azza,Daret Azza,,174,30,Solid_finished_houses_apartments,,Shelter,Cash,Safety,SY02,SY0203,SY020300,,SY02,SY0200,SY020004,C1139,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Jebel Saman,Daret Azza,Kafrantin,,91,16,Solid_finished_houses_apartments,,Shelter,Cash,Safety,SY02,SY0203,SY020300,,SY02,SY0200,SY020004,C1149,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Al Bab,Sosyan,,19,4,Solid_finished_houses_apartments,,NFI,Health,Winterization,SY02,SY0202,SY020200,,SY02,SY0202,SY020200,C1187,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Al Bab,Sosyan,,9,2,Solid_finished_houses_apartments,,NFI,Winterization,Education,SY02,SY0202,SY020200,,SY02,SY0202,SY020200,C1187,
