OBJECTID,OBJECTID__,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin3Name,admin3Pcod,admin4Name,admin4Pcod,LocationName,Location_Pcode,location_type,LastUpdate,Latitude_y,Longitude_x
1,983,Syrian Arab Republic,SY,Idleb,SY07,Ariha,SY0705,Ariha,SY070500,Al Kfeer,C8380,Al Kfeer,C8380,Community,13/04/2020,35.83989100000,36.50022500000
2,984,Syrian Arab Republic,SY,Idleb,SY07,Ariha,SY0705,Ariha,SY070500,Al Maljaa,C8381,Al Maljaa,C8381,Community,13/04/2020,35.77609800000,36.60276000000
3,985,Syrian Arab Republic,SY,Idleb,SY07,Ariha,SY0705,Ariha,SY070500,Segata,C8382,Segata,C8382,Community,13/04/2020,35.73015500000,36.64850600000
4,986,Syrian Arab Republic,SY,Idleb,SY07,Ariha,SY0705,Mhambal,SY070502,Al qonfud,C8383,Al qonfud,C8383,Community,13/04/2020,35.79892200000,36.41730700000
5,987,Syrian Arab Republic,SY,Idleb,SY07,Ariha,SY0705,Mhambal,SY070502,Hila Dam,C8384,Hila Dam,C8384,Community,13/04/2020,35.85239600000,36.49553300000
6,988,Syrian Arab Republic,SY,Idleb,SY07,Jisr-Ash-Shugur,SY0704,Jisr-Ash-Shugur,SY070400,Al Sheakh Ibrahim,C8385,Al Sheakh Ibrahim,C8385,Community,13/04/2020,35.87375300000,36.39301700000
7,989,Syrian Arab Republic,SY,Idleb,SY07,Jisr-Ash-Shugur,SY0704,Jisr-Ash-Shugur,SY070400,Al Enabiat,C8386,Al Enabiat,C8386,Community,13/04/2020,35.88531200000,36.37824000000
8,990,Syrian Arab Republic,SY,Idleb,SY07,Jisr-Ash-Shugur,SY0704,Jisr-Ash-Shugur,SY070400,Al Marj Al Akhdar,C8387,Al Marj Al Akhdar,C8387,Community,13/04/2020,35.77734700000,36.30254000000
9,991,Syrian Arab Republic,SY,Idleb,SY07,Jisr-Ash-Shugur,SY0704,Jisr-Ash-Shugur,SY070400,eyn albarda,C8388,eyn albarda,C8388,Community,13/04/2020,35.81709700000,36.33811300000
10,992,Syrian Arab Republic,SY,Idleb,SY07,Jisr-Ash-Shugur,SY0704,Jisr-Ash-Shugur,SY070400,Mazraet Al Baseel,C8389,Mazraet Al Baseel,C8389,Community,13/04/2020,35.79233500000,36.32751900000
11,993,Syrian Arab Republic,SY,Idleb,SY07,Jisr-Ash-Shugur,SY0704,Jisr-Ash-Shugur,SY070400,Mazraet al hammam,C8390,Mazraet al hammam,C8390,Community,13/04/2020,35.81632200000,36.41295700000
12,994,Syrian Arab Republic,SY,Idleb,SY07,Jisr-Ash-Shugur,SY0704,Jisr-Ash-Shugur,SY070400,Mazraet Al Haj Hammoud,C8391,Mazraet Al Haj Hammoud,C8391,Community,13/04/2020,35.83805700000,36.30984500000
